no,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,class
0,0.6455696203,0.7954545455,0.2028985507,0.08,0
1,0.6202531646,0.6818181818,0.2028985507,0.08,0
2,0.5949367089,0.7272727273,0.1884057971,0.08,0
3,0.582278481,0.7045454545,0.2173913043,0.08,0
4,0.6329113924,0.8181818182,0.2028985507,0.08,0
5,0.6835443038,0.8863636364,0.2463768116,0.16,0
6,0.582278481,0.7727272727,0.2028985507,0.12,0
7,0.6329113924,0.7727272727,0.2173913043,0.08,0
8,0.5569620253,0.6590909091,0.2028985507,0.08,0
9,0.6202531646,0.7045454545,0.2173913043,0.04,0
10,0.6835443038,0.8409090909,0.2173913043,0.08,0
11,0.6075949367,0.7727272727,0.231884058,0.08,0
12,0.6075949367,0.6818181818,0.2028985507,0.04,0
13,0.5443037975,0.6818181818,0.1594202899,0.04,0
14,0.7341772152,0.9090909091,0.1739130435,0.08,0
15,0.7215189873,1,0.2173913043,0.16,0
16,0.6835443038,0.8863636364,0.1884057971,0.16,0
17,0.6455696203,0.7954545455,0.2028985507,0.12,0
18,0.7215189873,0.8636363636,0.2463768116,0.12,0
19,0.6455696203,0.8636363636,0.2173913043,0.12,0
20,0.6835443038,0.7727272727,0.2463768116,0.08,0
21,0.6455696203,0.8409090909,0.2173913043,0.16,0
22,0.582278481,0.8181818182,0.1449275362,0.08,0
23,0.6455696203,0.75,0.2463768116,0.2,0
24,0.6075949367,0.7727272727,0.2753623188,0.08,0
25,0.6329113924,0.6818181818,0.231884058,0.08,0
26,0.6329113924,0.7727272727,0.231884058,0.16,0
27,0.6582278481,0.7954545455,0.2173913043,0.08,0
28,0.6582278481,0.7727272727,0.2028985507,0.08,0
29,0.5949367089,0.7272727273,0.231884058,0.08,0
30,0.6075949367,0.7045454545,0.231884058,0.08,0
31,0.6835443038,0.7727272727,0.2173913043,0.16,0
32,0.6582278481,0.9318181818,0.2173913043,0.04,0
33,0.6962025316,0.9545454545,0.2028985507,0.08,0
34,0.6202531646,0.7045454545,0.2173913043,0.04,0
35,0.6329113924,0.7272727273,0.1739130435,0.08,0
36,0.6962025316,0.7954545455,0.1884057971,0.08,0
37,0.6202531646,0.7045454545,0.2173913043,0.04,0
38,0.5569620253,0.6818181818,0.1884057971,0.08,0
39,0.6455696203,0.7727272727,0.2173913043,0.08,0
40,0.6329113924,0.7954545455,0.1884057971,0.12,0
41,0.5696202532,0.5227272727,0.1884057971,0.12,0
42,0.5569620253,0.7272727273,0.1884057971,0.08,0
43,0.6329113924,0.7954545455,0.231884058,0.24,0
44,0.6455696203,0.8636363636,0.2753623188,0.16,0
45,0.6075949367,0.6818181818,0.2028985507,0.12,0
46,0.6455696203,0.8636363636,0.231884058,0.08,0
47,0.582278481,0.7272727273,0.2028985507,0.08,0
48,0.6708860759,0.8409090909,0.2173913043,0.08,0
49,0.6329113924,0.75,0.2028985507,0.08,0
50,0.8860759494,0.7272727273,0.6811594203,0.56,1
51,0.8101265823,0.7272727273,0.652173913,0.6,1
52,0.8734177215,0.7045454545,0.7101449275,0.6,1
53,0.6962025316,0.5227272727,0.5797101449,0.52,1
54,0.8227848101,0.6363636364,0.6666666667,0.6,1
55,0.7215189873,0.6363636364,0.652173913,0.52,1
56,0.7974683544,0.75,0.6811594203,0.64,1
57,0.6202531646,0.5454545455,0.4782608696,0.4,1
58,0.835443038,0.6590909091,0.6666666667,0.52,1
59,0.6582278481,0.6136363636,0.5652173913,0.56,1
60,0.6329113924,0.4545454545,0.5072463768,0.4,1
61,0.746835443,0.6818181818,0.6086956522,0.6,1
62,0.7594936709,0.5,0.5797101449,0.4,1
63,0.7721518987,0.6590909091,0.6811594203,0.56,1
64,0.7088607595,0.6590909091,0.5217391304,0.52,1
65,0.8481012658,0.7045454545,0.6376811594,0.56,1
